Target,Pair,Lag,Model,RMSE,MAE,R2,Spearman,Train_Time,Optimized,Run_Mode
target_112,JPX_Gold_Standard_Futures_Close - LME_CA_Close,2,Lasso,0.017425490765720218,0.013890565278849814,-0.002209719584610248,0.06859843555923582,0.006524324417114258,False,OPTIMIZED
target_112,JPX_Gold_Standard_Futures_Close - LME_CA_Close,2,RandomForest,0.017653642818446995,0.014227604997530865,-0.02862540065724062,-0.02612675223280298,0.3142232894897461,False,OPTIMIZED
target_112,JPX_Gold_Standard_Futures_Close - LME_CA_Close,2,ElasticNet,0.017454184179704648,0.013897225363121697,-0.005512983148844297,0.05980400130123618,0.0030889511108398438,True,OPTIMIZED
target_112,JPX_Gold_Standard_Futures_Close - LME_CA_Close,2,XGBoost,0.017432199909436816,0.013910285490983165,-0.0029816075688224863,0.0,0.32918572425842285,True,OPTIMIZED
target_112,JPX_Gold_Standard_Futures_Close - LME_CA_Close,2,LightGBM,0.017530156704605466,0.014095743242454526,-0.01428539130458173,-0.051274250310522275,0.6727206707000732,True,OPTIMIZED
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,Ridge,0.015130190752913086,0.011580655811833174,-0.13191321086871421,0.04021050426768602,0.008037328720092773,False,OPTIMIZED
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,Lasso,0.014274916488739778,0.010927170737210863,-0.0075612913391931436,0.0,0.005533456802368164,False,OPTIMIZED
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,RandomForest,0.01587596885416427,0.012651527700866723,-0.24624892981123425,-0.090990577516025,0.3387770652770996,False,OPTIMIZED
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,ElasticNet,0.014274916488739778,0.010927170737210863,-0.0075612913391931436,0.0,0.0028569698333740234,True,OPTIMIZED
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,XGBoost,0.014274729960558303,0.01092708809506012,-0.007534960208266384,0.0,0.22226905822753906,True,OPTIMIZED
