Target,Model,Best_CV_Spearman,N_Trials
target_109,XGBoost,0.0,10
target_109,LightGBM,0.030210334127659097,10
target_110,ElasticNet,0.12124425335682974,10
target_110,XGBoost,0.0,10
target_110,LightGBM,0.07078392086118178,10
target_111,ElasticNet,0.08202023144213144,10
target_111,XGBoost,0.0,10
target_111,LightGBM,0.04717805567476427,10
target_112,ElasticNet,-0.029511866724149936,10
target_112,XGBoost,0.0,10
target_112,LightGBM,0.06154326977428692,10
target_113,ElasticNet,0.014248462798167862,10
target_113,XGBoost,0.0,10
target_113,LightGBM,0.00214279051292462,10
target_114,ElasticNet,0.14387700627961775,10
target_114,XGBoost,0.0,10
target_114,LightGBM,0.031141912958607337,10
target_115,ElasticNet,0.0816516045653128,10
target_115,XGBoost,0.0,10
target_115,LightGBM,0.03234821897108881,10
target_116,ElasticNet,0.08172585350881478,10
target_117,ElasticNet,0.004738891160854294,10
target_117,XGBoost,0.0,10
target_117,LightGBM,0.054465059167874814,10
target_118,ElasticNet,0.059813647396113306,10
target_118,XGBoost,0.0,10
target_118,LightGBM,0.07132711072016158,10
target_119,ElasticNet,0.018996374286152758,10
target_119,XGBoost,0.0,10
target_119,LightGBM,0.03398320117353443,10
target_120,ElasticNet,0.09115176643166828,10
target_120,XGBoost,0.0,10
target_120,LightGBM,0.031159448246771446,10
target_121,ElasticNet,0.01730433984051126,10
target_121,XGBoost,0.0,10
target_121,LightGBM,0.048326124356223195,10
target_122,ElasticNet,0.0,10
target_122,XGBoost,0.0,10
target_122,LightGBM,0.006519965282866094,10
target_123,ElasticNet,0.10230307973027901,10
target_123,XGBoost,0.0,10
target_123,LightGBM,0.07407765409739321,10
target_124,ElasticNet,0.09147867174269586,10
target_124,XGBoost,0.0682013120639154,10
target_124,LightGBM,0.051068731537183776,10
target_125,ElasticNet,0.022851342302881276,10
target_125,XGBoost,0.0,10
target_125,LightGBM,0.009753124047619065,10
target_126,ElasticNet,0.14202217095394742,10
target_126,XGBoost,0.0650706622404142,10
target_126,LightGBM,0.05649474895169778,10
target_127,ElasticNet,0.07621655173951102,10
target_127,XGBoost,0.0,10
target_127,LightGBM,0.02558929246360744,10
target_128,ElasticNet,0.06629171212716521,10
target_128,XGBoost,0.0,10
target_128,LightGBM,0.015666066092390345,10
target_129,ElasticNet,0.08481606939696894,10
target_129,XGBoost,0.0,10
target_129,LightGBM,0.049492408634840286,10
target_130,ElasticNet,0.1096231983423941,10
target_130,XGBoost,0.061439802010558604,10
target_130,LightGBM,0.057207767091088525,10
target_131,ElasticNet,0.03911948335749665,10
target_131,XGBoost,0.0,10
target_131,LightGBM,0.058300688181842676,10
target_132,ElasticNet,0.016317700909364404,10
target_132,XGBoost,0.0,10
target_132,LightGBM,0.031603786532583174,10
target_133,ElasticNet,0.10618043177630827,10
target_133,XGBoost,0.0,10
target_133,LightGBM,0.01942187482585171,10
target_134,ElasticNet,0.048524117163457454,10
target_134,XGBoost,0.0,10
target_134,LightGBM,0.0625764466156043,10
target_135,ElasticNet,0.055230791483866566,10
target_135,XGBoost,0.006485694612377445,10
target_135,LightGBM,0.058436083625786,10
target_136,ElasticNet,0.04075607863633001,10
target_136,XGBoost,0.0,10
target_136,LightGBM,0.07211585729602991,10
target_137,ElasticNet,0.07660927209799391,10
target_137,XGBoost,0.0,10
target_137,LightGBM,0.09957089744847569,10
target_138,ElasticNet,0.0,10
target_138,XGBoost,0.0,10
target_138,LightGBM,0.03924600777778304,10
target_139,ElasticNet,0.1376612177000244,10
target_139,XGBoost,0.06881571707436072,10
target_139,LightGBM,0.09775596051192877,10
target_140,ElasticNet,0.07400369110550019,10
target_140,XGBoost,0.023196203076547392,10
target_140,LightGBM,0.003947693163419336,10
target_141,ElasticNet,0.09882115002602043,10
target_141,XGBoost,0.0,10
target_141,LightGBM,0.015521381766491685,10
target_142,ElasticNet,0.0990707162703975,10
target_142,XGBoost,0.05212834293830304,10
target_142,LightGBM,0.05006018422895329,10
target_143,ElasticNet,0.10677485702606108,10
target_143,XGBoost,0.0637431630247257,10
target_143,LightGBM,0.06439518310208861,10
target_144,ElasticNet,0.1344434053911733,10
target_144,XGBoost,0.07318460955406407,10
target_144,LightGBM,0.0931809090194367,10
target_145,ElasticNet,0.07687749775768636,10
target_145,XGBoost,0.0,10
target_145,LightGBM,0.05142978803106646,10
target_146,ElasticNet,0.09662539855533862,10
target_146,XGBoost,0.033699456509137575,10
target_146,LightGBM,0.07355333583012334,10
target_147,ElasticNet,0.02286004323508647,10
target_147,XGBoost,0.0,10
target_147,LightGBM,0.0063235592419563875,10
target_148,ElasticNet,0.0760841774506535,10
target_148,XGBoost,0.0,10
target_148,LightGBM,0.02231582171449085,10
target_149,ElasticNet,0.08629211390144216,10
target_149,XGBoost,0.03077686962124748,10
target_149,LightGBM,0.014195024364740079,10
target_150,ElasticNet,0.07159574080332197,10
target_150,XGBoost,0.0,10
target_150,LightGBM,0.026350054836072046,10
target_151,ElasticNet,0.07936647931797096,10
target_151,XGBoost,0.0,10
target_151,LightGBM,0.05157131462526287,10
target_152,ElasticNet,0.08661553538723422,10
target_152,XGBoost,0.0,10
target_152,LightGBM,0.06689129910778502,10
target_153,ElasticNet,0.024492637851207536,10
target_153,XGBoost,0.0,10
target_153,LightGBM,0.0,10
target_154,ElasticNet,0.04488327413685058,10
target_154,XGBoost,0.021963628171257937,10
target_154,LightGBM,0.092953609680986,10
target_155,ElasticNet,0.07578213480728162,10
target_155,XGBoost,0.008110171747840308,10
target_155,LightGBM,0.03973456457140227,10
target_156,ElasticNet,0.04166494797450066,10
target_156,XGBoost,0.0,10
target_156,LightGBM,0.02006657475975933,10
target_157,ElasticNet,0.06619052268891153,10
target_157,XGBoost,0.05097581310640859,10
target_157,LightGBM,0.050972334780934624,10
target_158,ElasticNet,0.13200600799783088,10
target_158,XGBoost,0.006600900791845325,10
target_158,LightGBM,0.05677421810785043,10
target_159,ElasticNet,0.0957103290948756,10
target_159,XGBoost,0.0,10
target_159,LightGBM,0.007764157455860922,10
target_160,ElasticNet,0.054850804270436294,10
target_160,XGBoost,0.0,10
target_160,LightGBM,0.061158292023473414,10
target_161,ElasticNet,0.11445638726636265,10
